ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
N-N123,Piñeres de Pría,,,,,43.44140,-4.95772,64
,,,,N-N124,Cuerres,43.44716,-4.98688,28
N-N124,Cuerres,,,,,43.44716,-4.98688,28
,,N-N124-1,Route to Blowholes and Cliffs,,,43.44773,-4.98572,28
,,N-N124-2,Fountain of Pilgrims,,,43.44468,-4.98922,53
,,,,N-N125,Ribadesella,43.46158,-5.06097,3
,,,,N-N125,Ribadesella,43.46158,-5.06097,3
N-N125,Ribadesella,,,,,43.46158,-5.06097,3
,,N-N125-1,Centro de Arte Rupestre de Tito Bustillo,,,43.45843,-5.06739,7
,,,,N-N126,San Esteban de Leces,43.46671,-5.11131,94
N-N126,San Esteban de Leces,,,,,43.46671,-5.11131,94
,,,,N-N127,La Vega,43.47718,-5.13020,24
N-N127,La Vega,,,,,43.47718,-5.13020,24
,,,,N-N128,Berbes,43.47406,-5.15222,80
N-N128,Berbes,,,,,43.47406,-5.15222,80
,,,,N-N129,Caravia,43.47406,-5.21239,4
N-N129,Caravia,,,,,43.47406,-5.21239,4
,,,,N-N130,La Isla,43.47789,-5.22663,10
N-N130,La Isla,,,,,43.47789,-5.22663,10
,,,,N-N131,Colunga,43.48520,-5.27001,21
N-N131,Colunga,,,,,43.48520,-5.27001,21
,,,,N-N132,Pernús,43.47894,-5.32442,48
N-N132,Pernús,,,,,43.47894,-5.32442,48
,,,,N-N133,La Llera,43.48088,-5.34353,160
N-N133,La Llera,,,,,43.48088,-5.34353,160
,,,,N-N134,Priesca,43.48515,-5.35853,143
N-N134,Priesca,,,,,43.48515,-5.35853,143
,,,,N-N135,Sebrayo,43.49967,-5.37950,13
N-N135,Sebrayo,,,,,43.49967,-5.37950,13
,,,,N-N136,Tornón,43.49694,-5.41345,31
N-N136,Tornón,,,,,43.49694,-5.41345,31
,,,,.,,43.49258,-5.41709,38
,,,,.,,43.49213,-5.42210,8
,,,,N-N137,Carda,43.48982,-5.42148,29
N-N137,Carda,,,,,43.48982,-5.42148,29
,,,,N-N138,Placeholder for N-N138,0.00000,0.00000,--
N-N141,Niévares,,,,,43.47177,-5.49690,161
,,,,.,,43.47364,-5.51432,435
,,,,N-N142,Peón,43.48907,-5.54250,77
N-N142,Peón,,,,,43.48907,-5.54250,77
,,,,.,,43.49105,-5.54669,79
,,,,.,,43.49301,-5.54704,87
,,,,.,,43.49694,-5.55573,195
,,,,.,,43.49799,-5.56235,261
,,,,.,,43.51072,-5.58744,167
,,,,N-N143,Cabueñes,43.51418,-5.59868,60
N-N143,Cabueñes,,,,,43.51418,-5.59868,60
,,,,N-N144,Gijón,43.54393,-5.66526,2
N-N144,Gijón,,,,,43.54393,-5.66526,2
,,N-N144-1,Palacio de Revillagigedo,,,43.54547,-5.66358,12
,,N-N144-2,Elogio del horizonte,,,43.54929,-5.66307,15
,,,,N-N145,Veriña,43.54168,-5.72456,14
N-N145,Veriña,,,,,43.54168,-5.72456,14
,,,,N-N146,Poago,43.53877,-5.72979,45
N-N146,Poago,,,,,43.53877,-5.72979,45
,,,,N-N147,Santa Eulaila,43.53569,-5.78618,83
N-N147,Santa Eulaila,,,,,43.53569,-5.78618,83
,,N-N147-1,Túmulos de San Pablo,,,43.53415,-5.76344,187
,,,,N-N148,Tamón,43.53242,-5.83472,54
N-N148,Tamón,,,,,43.53242,-5.83472,54
,,,,N-N149,Trasona,43.55053,-5.87204,20
N-N149,Trasona,,,,,43.55053,-5.87204,20
,,,,N-N150,Avilés,43.55200,-5.91810,11
N-N150,Avilés,,,,,43.55200,-5.91810,11
,,N-N150-1,Avilés Tourist Office,,,43.55589,-5.92044,9
,,,,N-N151,Salinas,43.57506,-5.95434,11
,,,,.,,43.55901,-5.92498,8
,,,,.,,43.56686,-5.94596,84
,,,,.,,43.55912,-5.96355,22
,,,,N-N153,Piedras Blancas,43.56002,-5.97728,28
N-N151,Salinas,,,,,43.57506,-5.95434,11
